protein,condition,light,co2_concentration,mean_intensity,mean_mass_fraction_norm,sd_intensity,Process,Pathway,Protein,Process.abbr,Pathway.abbr
sll0750,Light-0200,200,1,2244143.38742,0.0001127486,1232603.87131552,Regulatory functions,Regulatory functions,"two-component sensor histidine kinase, KaiC-interacting protein, involved in circadian rhythm",Regul,Regulatory functio
sll0750,Light-0300,300,1,2099928.548308,0.0000879092,968895.643200263,Regulatory functions,Regulatory functions,"two-component sensor histidine kinase, KaiC-interacting protein, involved in circadian rhythm",Regul,Regulatory functio
sll0750,Light-1000,1000,1,4021452.46898825,0.0002134424,2519893.2594198,Regulatory functions,Regulatory functions,"two-component sensor histidine kinase, KaiC-interacting protein, involved in circadian rhythm",Regul,Regulatory functio
sll0752,CO2-0-15,300,0.15,936646.971059463,0.0000753762,38549.7524129392,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0752,CO2-0-2,300,0.2,1125668.24491679,0.0000831009,174761.052179178,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0752,CO2-0-3,300,0.3,1015565.38133746,0.000077124,85796.4073743043,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0752,CO2-0-5,300,0.5,1080103.40991833,0.0000748981,283049.361095291,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0752,CO2-1-0,300,1,1496888.7180547,0.0000857615,322887.356079185,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0752,Light-0060,60,1,1742851.76464446,0.0000895583,724472.371621108,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0752,Light-0100,100,1,1680419.58508945,0.0000846149,664674.850644037,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0752,Light-0200,200,1,2240922.14288044,0.0001212435,85346.1098902986,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0752,Light-0300,300,1,1919648.58899309,0.0000856952,267669.462956252,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0752,Light-1000,1000,1,2478751.6579756,0.0001251716,601445.83068824,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0753,CO2-0-15,300,0.15,3980276.37932625,0.0001936545,651540.406986389,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0753,CO2-0-2,300,0.2,3817733.17751375,0.0001814868,397714.245490397,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0753,CO2-0-3,300,0.3,3406428.553482,0.0001594822,241716.265333156,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0753,CO2-0-5,300,0.5,2945656.7461095,0.0001242771,395620.659988738,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0753,CO2-1-0,300,1,2510653.5279625,0.0000960482,835461.797972422,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0753,Light-0060,60,1,3005258.25,0.000203667,1974334.64856195,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0753,Light-0100,100,1,4445880,0.0003013517,2038262.77080917,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0753,Light-0200,200,1,1627371.1542485,0.0001066853,440207.237510015,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0753,Light-0300,300,1,1678598.30089775,0.0000981164,781076.401753415,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0753,Light-1000,1000,1,1548954.68387525,0.0000937504,143395.530007366,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,FolD bifunctional protein,Cofactors,Folic acid
sll0754,CO2-0-15,300,0.15,3423348.3088825,0.0001908387,704936.760360491,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0754,CO2-0-2,300,0.2,3606112.5,0.000195401,386441.423277837,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0754,CO2-0-3,300,0.3,3162036.25,0.0001720737,888167.659391842,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0754,CO2-0-5,300,0.5,4838267.1267,0.0002255693,665107.198604046,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0754,CO2-1-0,300,1,5976247.5,0.000247396,731345.914570071,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0754,Light-0060,60,1,3493267.9149875,0.0002135552,779499.314429815,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0754,Light-0100,100,1,2782794.08053,0.0001634941,932701.387495167,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0754,Light-0200,200,1,3025809.93894525,0.0001777059,762210.580990516,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0754,Light-0300,300,1,4564434.18601,0.0002492594,302375.354655036,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0754,Light-1000,1000,1,2588607.406556,0.0001353363,632243.913922712,Translation,Ribosomal proteins: synthesis and modification,ribosome binding factor A,Translat,Ribosomal proteins
sll0755,CO2-0-15,300,0.15,1619964.60058575,0.0000337667,776395.539951884,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0755,CO2-0-2,300,0.2,2140772.16074975,0.0000561597,256038.65072972,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0755,CO2-0-3,300,0.3,1798760.05014575,0.000038725,260882.632179181,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0755,CO2-0-5,300,0.5,2143298.2209605,0.0000442125,193087.360783635,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0755,CO2-1-0,300,1,3360850.9972295,0.0000801445,562710.03562391,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0755,Light-0060,60,1,1448206.66768125,0.0001434672,1551435.86809879,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0755,Light-0100,100,1,1247767.4462045,0.0001291686,317837.384933826,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0755,Light-0200,200,1,548483.2782425,0.0000807534,99690.1969346959,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0755,Light-0300,300,1,678479.31202175,0.0000846982,285298.708007552,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0755,Light-1000,1000,1,1288535.98110725,0.0001245798,1390083.42524775,Cellular processes,Detoxification,thioredoxin peroxidase,CellProc,Detoxification
sll0757,CO2-0-15,300,0.15,2878391.78154033,0.0001634827,336717.801018084,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0757,CO2-0-2,300,0.2,3157912.51087434,0.0001731819,965707.099815135,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0757,CO2-0-3,300,0.3,3459818.98273899,0.0001843598,381694.819135535,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0757,CO2-0-5,300,0.5,3527339.94688123,0.0001705369,397397.1756213,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0757,CO2-1-0,300,1,4394592.14371341,0.000187834,500053.482964853,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0757,Light-0060,60,1,5462203.17464725,0.000350705,2509128.96486817,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0757,Light-0100,100,1,1707057.97057731,0.0000910392,282605.233523621,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0757,Light-0200,200,1,4605866.26933406,0.0002861492,2328670.86476727,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0757,Light-0300,300,1,3556031.36346705,0.0001894766,1109102.79130465,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0757,Light-1000,1000,1,2545652.84980882,0.0001339744,712199.010624895,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,amidophosphoribosyltransferase,Nucleot,Purine ribonucleot
sll0759,CO2-0-15,300,0.15,2768259.87210615,0.0001854172,653220.237037421,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0759,CO2-0-2,300,0.2,2399614.34169788,0.0001650468,460022.304272001,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0759,CO2-0-3,300,0.3,2360574.09384795,0.0001612581,559099.945776318,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0759,CO2-0-5,300,0.5,2196646.298067,0.0001432258,391270.199384722,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0759,CO2-1-0,300,1,1399717.97476015,0.00010478,404238.992405812,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0759,Light-0060,60,1,1693216.45593275,0.0000635391,1988139.851072,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0759,Light-0100,100,1,1304718.6328975,0.0000362471,313767.283015135,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0759,Light-0200,200,1,2062210.0336435,0.0000865339,981941.111379256,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0759,Light-0300,300,1,2569231.753595,0.0001024723,572950.028948917,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0759,Light-1000,1000,1,4143674.4001625,0.0002072438,1184399.77175758,Transport and binding proteins,Transport and binding proteins,ABC transporter ATP-binding protein,Transport,Transport and bind
sll0760,CO2-0-15,300,0.15,294965.3137495,0.000050566,175527.864453427,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0760,CO2-0-2,300,0.2,424720.46721875,0.0000562705,183742.535344118,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0760,CO2-0-3,300,0.3,345909.02548275,0.0000523102,79955.3295985558,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0760,CO2-0-5,300,0.5,372177.19273525,0.0000517276,96784.6003100344,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0760,CO2-1-0,300,1,377956.4599135,0.0000503969,163766.832572763,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0760,Light-0060,60,1,1085219.46785925,0.0000383715,827409.642284257,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0760,Light-0100,100,1,1829651.64385,0.0000890268,596287.758244609,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0760,Light-0200,200,1,1702740.940835,0.0000789374,455123.3046091,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0760,Light-0300,300,1,1405339.8785825,0.0000486968,210034.532532339,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0760,Light-1000,1000,1,1368822.0382105,0.0000495692,727040.320560368,Hypothetical,Hypothetical,hypothetical protein YCF38,Hypoth,Hypothetical
sll0764,CO2-0-15,300,0.15,2691237.06628646,0.0001893769,166968.62681914,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0764,CO2-0-2,300,0.2,2153601.41967683,0.0001612225,199121.430655043,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0764,CO2-0-3,300,0.3,2188788.82841062,0.0001610352,42834.6556788185,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0764,CO2-0-5,300,0.5,2829656.74743452,0.00017679,233775.103999211,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0764,CO2-1-0,300,1,2072042.48118322,0.0001371663,267097.458207384,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0764,Light-0060,60,1,4269438.57229375,0.0002336023,1430847.62682855,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0764,Light-0100,100,1,4057150,0.0002174215,1338808.47280956,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0764,Light-0200,200,1,4669585,0.0002556391,1051739.88370065,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0764,Light-0300,300,1,3240677.162786,0.000135533,470631.678533208,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0764,Light-1000,1000,1,1734646.05741875,0.00004816,435691.084016987,Transport and binding proteins,Transport and binding proteins,urea transport system ATP-binding protein,Transport,Transport and bind
sll0765,CO2-0-15,300,0.15,1763445.29684375,0.0000828501,238024.116063587,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0765,CO2-0-2,300,0.2,2048068.35776525,0.0000940742,504963.225487494,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0765,CO2-0-3,300,0.3,1549773.78467525,0.0000695664,634374.171099889,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0765,CO2-0-5,300,0.5,1850016.96048775,0.0000744334,311492.590838423,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0765,CO2-1-0,300,1,1685644.7263645,0.0000607106,97634.8599698924,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0765,Light-0060,60,1,1383961.4091025,0.0000968025,305936.965120578,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0765,Light-0100,100,1,1568412.5054375,0.0001089309,685405.919161557,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0765,Light-0200,200,1,642381.2829445,0.000044885,240318.241989557,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0765,Light-0300,300,1,1011603.75024025,0.0000626562,537386.77634717,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0765,Light-1000,1000,1,1190965.6161485,0.0000762126,425097.988248109,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0767,CO2-0-15,300,0.15,33313922.5,0.0002783192,1717440.54395633,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0767,CO2-0-2,300,0.2,38468075,0.0004799793,3321905.01053738,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0767,CO2-0-3,300,0.3,42263600,0.0006215344,2255858.94819098,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0767,CO2-0-5,300,0.5,55904945,0.0009776298,11638155.2875316,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0767,CO2-1-0,300,1,75764752.5,0.0014768652,5762140.11764943,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0767,Light-0060,60,1,10026179.25,0.0020037419,13285811.0880611,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0767,Light-0100,100,1,15017192.1321475,0.002342315,14062767.6921758,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0767,Light-0200,200,1,4451762.9191975,0.0016139306,979650.279652305,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0767,Light-0300,300,1,4359399.5,0.0015763977,2201521.86847712,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0767,Light-1000,1000,1,20872017,0.0026243136,17690784.4622921,Translation,Ribosomal proteins: synthesis and modification,50S ribosomal protein L20,Translat,Ribosomal proteins
sll0776,CO2-0-15,300,0.15,3194977.55302761,0.0002255589,1510223.7551649,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0776,CO2-0-2,300,0.2,1476450.30307818,0.0001418078,293827.427955863,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0776,CO2-0-3,300,0.3,1250170.28409647,0.0001302226,452440.099080851,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0776,CO2-0-5,300,0.5,2184094.86130354,0.0001624809,1359537.09619339,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0776,CO2-1-0,300,1,763294.327623036,0.0001011213,271749.455233199,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0776,Light-0060,60,1,2208128.37748175,0.000079287,710133.919522278,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0776,Light-0100,100,1,1837667.382098,0.0000530372,613952.11356516,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0776,Light-0200,200,1,2689595.61926,0.0001092924,277975.141853706,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0776,Light-0300,300,1,2814342.15839175,0.0000975597,610234.217523982,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0776,Light-1000,1000,1,3111326.9265195,0.0001225747,1693230.31509513,Regulatory functions,Regulatory functions,serine/threonine kinase,Regul,Regulatory functio
sll0778,CO2-0-15,300,0.15,2488146.7805625,0.0003603144,1898967.7759528,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0778,CO2-0-2,300,0.2,1583888.772617,0.0003153144,432965.337690196,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0778,CO2-0-3,300,0.3,1493883.210595,0.0003098745,380653.173176422,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0778,CO2-0-5,300,0.5,1440791.59011675,0.0003005374,481155.139624336,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0778,CO2-1-0,300,1,1403986.82221125,0.0002932076,239493.130086803,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0778,Light-0060,60,1,6863908.9171255,0.0002319276,2178623.57449848,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0778,Light-0100,100,1,6957901.1722925,0.0002357736,904704.696199467,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0778,Light-0200,200,1,8057337.2741125,0.0003046459,728904.836885179,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0778,Light-0300,300,1,8596607.17394725,0.000279533,2658707.62424559,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0778,Light-1000,1000,1,9027436.6406625,0.0003259977,435294.520417363,Transport and binding proteins,Transport and binding proteins,"ABC transporter, ATP-binding protein",Transport,Transport and bind
sll0779,CO2-0-15,300,0.15,1212485.90289932,0.0001178912,190546.821614282,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0779,CO2-0-2,300,0.2,1320231.82035449,0.000121511,561032.991432583,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0779,CO2-0-3,300,0.3,1410115.48147357,0.0001245217,474314.678960867,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0779,CO2-0-5,300,0.5,1373938.25425228,0.000116279,273905.040447925,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0779,CO2-1-0,300,1,1589649.12882777,0.000118522,331340.219717694,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0779,Light-0060,60,1,3804342.66393275,0.000202408,1482911.84734635,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0779,Light-0100,100,1,6389657.6829015,0.0003783134,2738962.75311461,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0779,Light-0200,200,1,2147089.9844085,0.0000855372,323873.871589264,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0779,Light-0300,300,1,2940816.56005725,0.0001182445,907535.944546737,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0779,Light-1000,1000,1,3313073.26339175,0.0001482766,1303884.7935019,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0781,CO2-0-15,300,0.15,9899583.19112638,0.0004982819,2124101.01305264,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0781,CO2-0-2,300,0.2,9326444.26310194,0.0004601515,981517.056551615,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0781,CO2-0-3,300,0.3,7819146.25491874,0.0003834045,293868.451973627,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0781,CO2-0-5,300,0.5,7947444.6799178,0.0003511698,981334.726484901,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0781,CO2-1-0,300,1,10096532.9880379,0.0003973233,1445122.29855922,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0781,Light-0060,60,1,8242825.91485059,0.0005429131,1611496.76339897,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0781,Light-0100,100,1,5658447.54535515,0.0003625056,1605178.66770112,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0781,Light-0200,200,1,5883555.48499245,0.000373167,1052440.76080085,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0781,Light-0300,300,1,7050651.14622054,0.0004017014,835708.017985193,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0781,Light-1000,1000,1,5420796.20763512,0.0003151332,1087815.82633952,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0783,CO2-0-15,300,0.15,521537.277059,0.0001215683,177831.67128706,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0783,CO2-0-2,300,0.2,511764.820634,0.0001205109,155084.406620121,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0783,CO2-0-3,300,0.3,559383.3981025,0.0001222626,221631.293077812,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0783,CO2-0-5,300,0.5,353657.09527625,0.0001111543,126332.386360685,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0783,CO2-1-0,300,1,320459.65424025,0.0001084656,126169.199379088,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0783,Light-0060,60,1,2809506.01004698,0.0000971225,786159.81115632,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0783,Light-0100,100,1,3212765.2907147,0.0001237203,1156109.36352472,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0783,Light-0200,200,1,2849418.24445589,0.0000964802,827247.531548008,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0783,Light-0300,300,1,3343386.15348822,0.0001059803,599925.705859757,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0783,Light-1000,1000,1,3067191.15575814,0.0000961542,1191832.6382777,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0784,CO2-0-15,300,0.15,833566.93711633,0.0002087958,402560.534436269,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0784,CO2-0-2,300,0.2,1360209.73103974,0.0002323686,415663.576950455,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0784,CO2-0-3,300,0.3,895355.358855702,0.0002099648,240102.545738923,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0784,CO2-0-5,300,0.5,841979.811167875,0.0002034858,286977.474909362,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0784,CO2-1-0,300,1,947235.546793331,0.0002038687,231620.894789259,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0784,Light-0060,60,1,5509579.75942306,0.0002110351,1855979.72459383,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0784,Light-0100,100,1,4115263.24183683,0.0001132994,413249.34337866,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0784,Light-0200,200,1,4494616.07600622,0.0001356703,1711979.15633026,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0784,Light-0300,300,1,6038908.90537023,0.0001970309,1012280.95059433,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0784,Light-1000,1000,1,9855488.17398365,0.0004505794,1733934.51304613,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase,AminoAcids,Glutamate family /
sll0804,CO2-0-15,300,0.15,681155.79998175,0.0000601279,55592.8378896363,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0804,CO2-0-2,300,0.2,604594.8057405,0.0000557747,60279.6124029462,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0804,CO2-0-3,300,0.3,559701.8068865,0.0000532162,97364.6459056158,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0804,CO2-0-5,300,0.5,589771.259791,0.0000517642,158857.804829225,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0804,CO2-1-0,300,1,617705.9168705,0.0000503468,127092.740307584,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0804,Light-0060,60,1,786720.9285235,0.0000266577,552371.41575322,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0804,Light-0100,100,1,790415.849109,0.000026613,312760.161241863,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0804,Light-0200,200,1,1295564.7445825,0.0000602125,254164.928859451,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
