"","protein","condition","growthrate","mean_intensity","median_intensity","CV","CI","mean_massfraction","rel_intensity","psortB_localization","Process","Pathway","Protein","Protein.names","Length","MolWeight","Process.color","Process.abbr","Pathway.abbr","mean_mass_fraction_norm","model.category"
"3363","sll0887","CO2-0-3",0.0452,4563093.77145772,5025540.90847737,0.2141495312,0.2098626842,0.0002087767,1.3208000832,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative modulator of DNA gyrase; PmbA homolog","Sll0887 protein",446,47.61,6,"DNArep","DNA replication, r",0.0003477851,"MAI"
"3364","sll0887","CO2-0-5",0.0756,4076161.74971553,4116011.31447997,0.1161702486,0.1138447517,0.0001669544,1.0817597918,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative modulator of DNA gyrase; PmbA homolog","Sll0887 protein",446,47.61,6,"DNArep","DNA replication, r",0.0003059628,"MAI"
"3365","sll0887","CO2-1-0",0.1003,3491776.72603389,3804921.70789034,0.3255944475,0.3190766953,0.0001285383,1,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative modulator of DNA gyrase; PmbA homolog","Sll0887 protein",446,47.61,6,"DNArep","DNA replication, r",0.0002675467,"MAI"
"3366","sll0887","Light-0060",0.0331,5272329.33470286,5110850.65213788,0.4219829361,0.4135356784,0.0003636696,0.6834472227,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative modulator of DNA gyrase; PmbA homolog","Sll0887 protein",446,47.61,6,"DNArep","DNA replication, r",0.0002246613,"MAI"
"3367","sll0887","Light-0100",0.0485,6044990.2729949,6165357.5653598,0.1971276512,0.1931815484,0.0004146742,0.8244608954,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative modulator of DNA gyrase; PmbA homolog","Sll0887 protein",446,47.61,6,"DNArep","DNA replication, r",0.0002756658,"MAI"
"3368","sll0887","Light-0200",0.0639,7784005.50728524,6748533.00295146,0.5048618385,0.4947555103,0.0005276424,0.9024458846,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative modulator of DNA gyrase; PmbA homolog","Sll0887 protein",446,47.61,6,"DNArep","DNA replication, r",0.000388634,"MAI"
"3369","sll0887","Light-0300",0.0934,6601083.73362207,6644477.43564284,0.2465706247,0.241634772,0.0004001048,0.8885310799,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative modulator of DNA gyrase; PmbA homolog","Sll0887 protein",446,47.61,6,"DNArep","DNA replication, r",0.0002610964,"MAI"
"3370","sll0887","Light-1000",0.0961,7864616.98460255,7478047.29136377,0.3252999909,0.3187881332,0.0004944199,1,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","putative modulator of DNA gyrase; PmbA homolog","Sll0887 protein",446,47.61,6,"DNArep","DNA replication, r",0.0003554115,"MAI"
"3381","sll0891","CO2-0-15",0.0183,2979033.74825269,2999141.97899101,0.2291748487,0.2245872248,0.0001422261,0.8868002033,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.0001538177,"CBM"
"3382","sll0891","CO2-0-2",0.0279,3659861.38985915,3406647.27206346,0.2125131505,0.2082590606,0.0001705051,1.0072932575,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.0001820967,"CBM"
"3383","sll0891","CO2-0-3",0.0452,3035970.02862256,2983873.59960488,0.0838063113,0.0821286759,0.0001389057,0.8822855781,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.0001504973,"CBM"
"3384","sll0891","CO2-0-5",0.0756,2878154.90822177,2977746.5962873,0.253544552,0.2484690952,0.0001178856,0.8804739174,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.0001294771,"CBM"
"3385","sll0891","CO2-1-0",0.1003,3501280.14067543,3381981.60948703,0.2702360573,0.2648264698,0.0001288882,1,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.0001404797,"CBM"
"3386","sll0891","Light-0060",0.0331,2923761.5468755,2862114.924996,0.282627321,0.2769696851,0.0002016724,0.7618446215,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.0001900808,"CBM"
"3387","sll0891","Light-0100",0.0485,3216638.98863775,3252295.6124025,0.6122310705,0.5999754242,0.000220655,0.8657038535,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.0002090634,"CBM"
"3388","sll0891","Light-0200",0.0639,2301947.32741,2078669.4262,0.2501714317,0.245163498,0.0001560386,0.5533052179,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.000144447,"CBM"
"3389","sll0891","Light-0300",0.0934,2542990.84143875,2462862.1509355,0.118371081,0.1160015278,0.0001541357,0.6555705597,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.0001425441,"CBM"
"3390","sll0891","Light-1000",0.0961,3709034.1167955,3756822.381155,0.3962173838,0.3882859011,0.0002331735,1,"Cytoplasmic","Energy metabolism","TCA cycle","malate dehydrogenase","Malate dehydrogenase (EC 1.1.1.37)",324,34.35,7,"Energy","TCA cycle",0.0002215819,"CBM"
"3401","sll0897","CO2-0-15",0.0183,8951569.3727212,8660252.82638531,0.2531498261,0.2480822709,0.000427369,0.6918882265,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.0006298476,"RIB"
"3402","sll0897","CO2-0-2",0.0279,8317648.11623013,8237455.15993872,0.1513357164,0.1483062769,0.0003875014,0.6581099138,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.00058998,"RIB"
"3403","sll0897","CO2-0-3",0.0452,10289556.5256006,7144039.41583783,0.66627479,0.6529372961,0.0004707814,0.5707543256,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.00067326,"RIB"
"3404","sll0897","CO2-0-5",0.0756,12998004.2975954,8770441.56227962,0.7405110933,0.7256875365,0.0005323818,0.7006914671,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.0007348603,"RIB"
"3405","sll0897","CO2-1-0",0.1003,12460203.1977932,12516837.9728723,0.0312500449,0.0306244813,0.0004586815,1,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.0006611601,"RIB"
"3406","sll0897","Light-0060",0.0331,8506115.61557713,7784126.75990216,0.3147986104,0.3084969694,0.0005867266,0.2945322068,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.000384248,"RIB"
"3407","sll0897","Light-0100",0.0485,5380973.4079198,5361519.62842685,0.2268780839,0.2223364367,0.000369124,0.2028667128,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.0001666454,"RIB"
"3408","sll0897","Light-0200",0.0639,12895383.0248991,12807169.3022776,0.0755291214,0.0740171789,0.0008741195,0.4845917794,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.0006716409,"RIB"
"3409","sll0897","Light-0300",0.0934,14134638.4270026,14651681.2281459,0.1752141263,0.1717066886,0.0008567284,0.554383573,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.0006542499,"RIB"
"3410","sll0897","Light-1000",0.0961,25712192.7561983,26428779.5359696,0.6335327605,0.6208506968,0.001616432,1,"Cytoplasmic","Cellular processes","Chaperones","DnaJ protein, heat shock protein 40, molecular chaperone","Chaperone protein DnaJ 1",377,40.8,4,"CellProc","Chaperones",0.0014139535,"RIB"
"3411","sll0898","CO2-0-15",0.0183,624289.05116475,619785.3282655,0.1303216215,0.1277128423,2.9805e-05,1.1636682166,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",6.13765e-05,"MAI"
"3412","sll0898","CO2-0-2",0.0279,811686.6624,816164.1139725,0.171676718,0.1682400921,3.78147e-05,1.5323761238,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",6.93862e-05,"MAI"
"3413","sll0898","CO2-0-3",0.0452,492446.8498775,469449.2946885,0.1346982436,0.1320018531,2.25311e-05,0.881407156,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",5.41025e-05,"MAI"
"3414","sll0898","CO2-0-5",0.0756,630836.742157375,564219.623601,0.2959146293,0.289991008,2.58383e-05,1.0593416998,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",5.74097e-05,"MAI"
"3415","sll0898","CO2-1-0",0.1003,583683.8061775,532613.4369165,0.2367168294,0.2319782301,2.14864e-05,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",5.30579e-05,"MAI"
"3416","sll0898","Light-0060",0.0331,722357.10118475,700645.4844045,0.1512946247,0.1482660077,4.9826e-05,0.7972007199,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",1.82546e-05,"MAI"
"3417","sll0898","Light-0100",0.0485,816353.841546,647603.895359,0.5951847332,0.5832703206,5.60002e-05,0.7368495238,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",2.44288e-05,"MAI"
"3418","sll0898","Light-0200",0.0639,1025155.87116375,992050.166956,0.1506857969,0.1476693675,6.94907e-05,1.1287635828,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",3.79192e-05,"MAI"
"3419","sll0898","Light-0300",0.0934,1382482.2797605,1530476.880755,0.3099532222,0.3037485762,8.3795e-05,1.7413903297,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",5.22235e-05,"MAI"
"3420","sll0898","Light-1000",0.0961,1294825.13692775,878882.1522035,0.9608432075,0.9416090407,8.14009e-05,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Thiamin","UGCG ceramide glucosyltransferase","Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)",369,41.9,2,"Cofactors","Thiamin",4.98295e-05,"MAI"
"3431","sll0900","CO2-0-15",0.0183,1996640.68809518,2112896.32088318,0.1273645541,0.1248149695,9.53243e-05,1.3299857466,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",0.0001084686,"CBM"
"3432","sll0900","CO2-0-2",0.0279,1915067.91330985,2040610.71831237,0.1879421308,0.1841799038,8.92189e-05,1.2844847818,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",0.0001023632,"CBM"
"3433","sll0900","CO2-0-3",0.0452,2104852.05211283,2130916.3440838,0.078698815,0.0771234215,9.6304e-05,1.3413286477,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",0.0001094483,"CBM"
"3434","sll0900","CO2-0-5",0.0756,1647880.45559009,1607559.64994297,0.2523664556,0.2473145819,6.74951e-05,1.0118960405,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",8.06394e-05,"CBM"
"3435","sll0900","CO2-1-0",0.1003,1475669.09645861,1588660.8757614,0.2986328004,0.2926547667,5.43219e-05,1,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",6.74662e-05,"CBM"
"3436","sll0900","Light-0060",0.0331,886274.87196425,820827.3052255,0.3745001394,0.3670033927,6.11326e-05,0.6096663252,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",4.79883e-05,"CBM"
"3437","sll0900","Light-0100",0.0485,1735341.720861,1194383.210135,0.831987231,0.8153325042,0.000119041,0.8871235374,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",0.0001058966,"CBM"
"3438","sll0900","Light-0200",0.0639,1288780.5,1294070,0.2284851565,0.2239113389,8.73606e-05,0.9611655173,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",7.42163e-05,"CBM"
"3439","sll0900","Light-0300",0.0934,1323710,1213995,0.2661938287,0.2608651586,8.02327e-05,0.9016901189,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",6.70884e-05,"CBM"
"3440","sll0900","Light-1000",0.0961,1486276.75,1346355,0.5890915016,0.5772990634,9.34368e-05,1,"Cytoplasmic","Amino acid biosynthesis","Aromatic amino acid family","ATP phosphoribosyltransferase","ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)",210,23.44,1,"AminoAcids","Aromatic amino aci",8.02925e-05,"CBM"
"3451","sll0902","CO2-0-15",0.0183,6236639.3179426,6066953.07935648,0.1078573901,0.1056983,0.0002977518,1.4948457598,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0003006411,"CBM"
"3452","sll0902","CO2-0-2",0.0279,5520262.90949352,5734880.65869797,0.1254168833,0.1229062872,0.0002571772,1.413025933,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0002600665,"CBM"
"3453","sll0902","CO2-0-3",0.0452,4776856.86127309,4804927.85604575,0.0401343784,0.0393309681,0.0002185571,1.1838934533,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0002214464,"CBM"
"3454","sll0902","CO2-0-5",0.0756,4863346.05085359,4893133.84379728,0.0434469348,0.0425772137,0.0001991965,1.2056266602,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0002020858,"CBM"
"3455","sll0902","CO2-1-0",0.1003,4154340.7892414,4058581.32152643,0.1649111847,0.1616099913,0.0001529284,1,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0001558177,"CBM"
"3456","sll0902","Light-0060",0.0331,5295341.99669582,4777623.10318496,0.6736677971,0.6601823099,0.000365257,2.7229060374,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0003623677,"CBM"
"3457","sll0902","Light-0100",0.0485,4105480.03675286,4193842.69812775,0.5253754462,0.5148584765,0.0002816277,2.3901926452,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0002787384,"CBM"
"3458","sll0902","Light-0200",0.0639,2350608.2477153,2558037.39622172,0.42255747,0.4140987113,0.0001593371,1.4578997379,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0001564478,"CBM"
"3459","sll0902","Light-0300",0.0934,2692865.47239147,2496172.43108954,0.45836434,0.4491887991,0.0001632199,1.4226410992,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0001603306,"CBM"
"3460","sll0902","Light-1000",0.0961,1705812.31089059,1754604.46949003,0.2015223307,0.1974882551,0.0001072382,1,"Cytoplasmic","Amino acid biosynthesis","Glutamate family / Nitrogen assimilation","ornithine carbamoyltransferase","Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)",308,33.62,1,"AminoAcids","Glutamate family /",0.0001043489,"CBM"
"3531","sll0920","CO2-0-15",0.0183,10338078.2060967,10460113.3950537,0.0494509257,0.0484610167,0.0004935642,0.453527685,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.0003339898,"CBM"
"3532","sll0920","CO2-0-2",0.0279,10690152.9954589,10419973.2279825,0.1312849997,0.1286569356,0.0004980313,0.4517872949,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.0003384569,"CBM"
"3533","sll0920","CO2-0-3",0.0452,12089403.3062714,12148062.3123845,0.1633565098,0.1600864379,0.0005531304,0.5267134656,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.000393556,"CBM"
"3534","sll0920","CO2-0-5",0.0756,16523686.937353,16589101.934145,0.2296619555,0.2250645807,0.0006767893,0.7192672499,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.0005172149,"CBM"
"3535","sll0920","CO2-1-0",0.1003,22830075.9488808,23063891.6697639,0.0554984319,0.0543874639,0.0008404144,1,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.00068084,"CBM"
"3536","sll0920","Light-0060",0.0331,6559831.59324265,5878957.9292286,0.2460699316,0.2411441018,0.0004524777,0.5232029477,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.0006120521,"CBM"
"3537","sll0920","Light-0100",0.0485,5943549.60063626,5964973.70840215,0.2239520817,0.2194690072,0.0004077155,0.5308579964,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.0005672899,"CBM"
"3538","sll0920","Light-0200",0.0639,9957182.02888611,9769449.80204542,0.1096042941,0.1074102345,0.0006749521,0.8694406382,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.0008345265,"CBM"
"3539","sll0920","Light-0300",0.0934,8912913.15463468,8888439.93595932,0.0908280799,0.0890098827,0.0005402293,0.7910344029,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.0006998037,"CBM"
"3540","sll0920","Light-1000",0.0961,11170255.9182527,11236477.0782,0.2662116238,0.2608825975,0.0007022334,1,"Cytoplasmic","Energy metabolism","Pyruvate and acetyl-CoA metabolism","phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)",1034,118.96,7,"Energy","Pyruvate and acety",0.0008618077,"CBM"
"3641","sll0945","CO2-0-15",0.0183,8030914.89123329,7845026.07999249,0.066170208,0.0648456123,0.0003834148,0.6779593637,"Cytoplasmic","Central intermediary metabolism","Polysaccharides and glycoproteins","glycogen synthase","Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)",477,54.36,5,"CentralMet","Polysaccharides an",0.0003877089,"CBM"
"3642","sll0945","CO2-0-2",0.0279,8101792.35314833,7886997.12501108,0.1045556617,0.1024626657,0.0003774451,0.6815864598,"Cytoplasmic","Central intermediary metabolism","Polysaccharides and glycoproteins","glycogen synthase","Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)",477,54.36,5,"CentralMet","Polysaccharides an",0.0003817393,"CBM"
"3643","sll0945","CO2-0-3",0.0452,7535636.15401297,7372143.45500665,0.0655813043,0.0642684972,0.0003447804,0.6370933169,"Cytoplasmic","Central intermediary metabolism","Polysaccharides and glycoproteins","glycogen synthase","Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)",477,54.36,5,"CentralMet","Polysaccharides an",0.0003490745,"CBM"
"3644","sll0945","CO2-0-5",0.0756,8693761.97229166,8123323.69478153,0.2181827629,0.2138151787,0.0003560855,0.7020095673,"Cytoplasmic","Central intermediary metabolism","Polysaccharides and glycoproteins","glycogen synthase","Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)",477,54.36,5,"CentralMet","Polysaccharides an",0.0003603796,"CBM"
"3645","sll0945","CO2-1-0",0.1003,11409790.6631909,11571528.4714889,0.1486348048,0.1456594321,0.000420014,1,"Cytoplasmic","Central intermediary metabolism","Polysaccharides and glycoproteins","glycogen synthase","Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)",477,54.36,5,"CentralMet","Polysaccharides an",0.0004243082,"CBM"
"3646","sll0945","Light-0060",0.0331,4380578.98170459,3958151.25660609,0.3007610834,0.2947404457,0.0003021593,0.5265219547,"Cytoplasmic","Central intermediary metabolism","Polysaccharides and glycoproteins","glycogen synthase","Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)",477,54.36,5,"CentralMet","Polysaccharides an",0.0002978652,"CBM"
"3647","sll0945","Light-0100",0.0485,3570870.14319301,3465473.19071145,0.2805971377,0.274980142,0.0002449545,0.4609848386,"Cytoplasmic","Central intermediary metabolism","Polysaccharides and glycoproteins","glycogen synthase","Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)",477,54.36,5,"CentralMet","Polysaccharides an",0.0002406604,"CBM"
"3648","sll0945","Light-0200",0.0639,7138833.004149,7528740.68672795,0.2876230738,0.2818654329,0.0004839091,1.0014895859,"Cytoplasmic","Central intermediary metabolism","Polysaccharides and glycoproteins","glycogen synthase","Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)",477,54.36,5,"CentralMet","Polysaccharides an",0.0004796149,"CBM"
